<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTLRP,W,20201102,000000,62.0000000,67.0000000,61.8000000,66.3500000,924730
MTLRP,W,20201109,000000,66.8500000,69.5000000,65.9500000,69.1500000,2514560
MTLRP,W,20201116,000000,69.7500000,72.1500000,68.0000000,70.4500000,3263630
MTLRP,W,20201123,000000,70.4000000,71.5000000,69.6500000,70.4000000,1355960
MTLRP,W,20201130,000000,70.6500000,73.0500000,69.8000000,70.4500000,2224310
MTLRP,W,20201207,000000,70.3500000,78.7500000,69.9000000,77.3000000,4188610
MTLRP,W,20201214,000000,77.4500000,77.7000000,71.8000000,72.4500000,4250300
MTLRP,W,20201221,000000,72.2500000,84.0000000,69.1500000,77.9000000,12923690
MTLRP,W,20201228,000000,78.6500000,81.5000000,75.4500000,77.0500000,3624120
MTLRP,W,20210104,000000,77.2000000,78.5500000,75.5000000,77.5500000,3086270
MTLRP,W,20210111,000000,77.7000000,81.6000000,76.7500000,78.0500000,5278960
MTLRP,W,20210118,000000,78.3000000,78.5000000,73.0000000,74.5000000,2670130
MTLRP,W,20210125,000000,74.5000000,76.1000000,73.0000000,73.9000000,1613400
MTLRP,W,20210201,000000,74.1000000,75.3000000,73.3000000,74.1000000,1510050
MTLRP,W,20210208,000000,74.5500000,78.2500000,73.7500000,77.6500000,2967620
MTLRP,W,20210215,000000,77.6500000,78.6000000,74.8000000,75.8500000,1297460
MTLRP,W,20210222,000000,77.3500000,79.2000000,75.6500000,76.5500000,1482990
MTLRP,W,20210301,000000,76.6500000,77.7000000,74.8500000,77.3000000,1308990
MTLRP,W,20210308,000000,77.4500000,79.1000000,76.4500000,77.1500000,1889950
MTLRP,W,20210315,000000,77.0500000,78.4500000,74.0000000,74.0000000,1675470
MTLRP,W,20210322,000000,73.7500000,74.1000000,69.7500000,70.8000000,1911490
MTLRP,W,20210329,000000,70.9500000,73.0000000,70.5500000,72.9000000,976840
MTLRP,W,20210405,000000,73.0500000,73.7500000,71.1500000,72.1500000,914960
MTLRP,W,20210412,000000,72.4500000,80.2500000,72.0000000,79.9500000,2808180
MTLRP,W,20210419,000000,80.2000000,82.3000000,76.6500000,79.7000000,2496830
MTLRP,W,20210426,000000,79.9500000,82.0000000,77.0000000,77.3500000,1261920
MTLRP,W,20210503,000000,77.5000000,81.0000000,77.5000000,80.4500000,993760
MTLRP,W,20210510,000000,80.5000000,85.0000000,78.2000000,85.0000000,2055330
MTLRP,W,20210517,000000,85.0000000,117.0000000,84.7000000,114.0000000,14502710
MTLRP,W,20210524,000000,114.0000000,118.4000000,102.7000000,106.9500000,11410670
MTLRP,W,20210531,000000,107.5000000,122.6000000,106.5500000,119.4500000,7871570
MTLRP,W,20210607,000000,119.0000000,121.9500000,114.9500000,118.8000000,2784860
MTLRP,W,20210614,000000,119.4000000,119.4500000,111.1000000,114.4000000,2526560
MTLRP,W,20210621,000000,113.5500000,119.8000000,112.0000000,114.0000000,2515050
MTLRP,W,20210628,000000,114.0000000,120.2500000,113.1500000,117.7500000,2026460
MTLRP,W,20210705,000000,117.2000000,118.5000000,114.0000000,116.1500000,1417080
MTLRP,W,20210712,000000,115.6000000,130.3500000,115.5500000,126.8500000,5507330
MTLRP,W,20210719,000000,126.0000000,126.8500000,117.6500000,125.3500000,3658750
MTLRP,W,20210726,000000,125.2500000,134.2000000,123.9000000,132.0000000,2325600
MTLRP,W,20210802,000000,130.4000000,140.3000000,129.2500000,136.5000000,2475280
MTLRP,W,20210809,000000,136.4500000,147.0000000,134.8500000,145.4000000,2228450
MTLRP,W,20210816,000000,146.0000000,159.0000000,140.7000000,157.9500000,5325250
MTLRP,W,20210823,000000,159.0000000,222.9500000,153.3000000,221.2000000,33167930
MTLRP,W,20210830,000000,221.7500000,263.8000000,221.7500000,227.5000000,31071110
MTLRP,W,20210906,000000,228.9000000,277.4000000,228.0000000,255.3500000,23855400
MTLRP,W,20210913,000000,256.9500000,272.4500000,252.7500000,257.4000000,10371080
MTLRP,W,20210920,000000,256.1500000,256.5500000,225.0000000,238.3500000,13808030
MTLRP,W,20210927,000000,240.9500000,259.0000000,239.2000000,256.6000000,5865620
MTLRP,W,20211004,000000,258.9500000,287.7000000,257.3500000,276.5500000,8982020
MTLRP,W,20211011,000000,278.0000000,318.5500000,276.8500000,307.4500000,11307110
MTLRP,W,20211018,000000,310.2000000,339.1500000,297.2500000,309.4000000,10099920
MTLRP,W,20211025,000000,312.1500000,319.9000000,282.3500000,296.5000000,9174930
